result,answer,seido,saigen,Fscore
"['あいづ', '、', '何', 'しっ', 'た', 'な', 'や']","['あいづ', '、.何', 'しっ', 'た', 'な', 'や']",0.14285714285714285,0.16666666666666666,0.15384615384615383
"['あいづ', '、', '取っ', 'てけろ']","['あいづ', '、', '取っ', 'て', 'けろ']",0.75,0.6,0.6666666666666665
"['あ', 'ぐ', 'ど', 'いだい']","['あぐど', 'いだい']",0.25,0.5,0.3333333333333333
"['あ', 'ぐ', 'どい', 'だ', 'ぐ', 'ねぇ', 'が']","['あぐど', 'いだ', 'ぐ', 'ねぇ', 'が']",0.42857142857142855,0.6,0.5
"['あだ', 'ま', 'かなり', 'やめる']","['あだま', 'かなり', 'やめる']",0.5,0.6666666666666666,0.5714285714285715
"['あだ', 'ま', 'やめ', 'でし', 'ゃ', 'ー', 'まし', 'する']","['あだま', 'やめ', 'で', 'しゃーまし', 'する']",0.25,0.4,0.3076923076923077
"['あ', 'だま', 'やめる']","['あだま', 'やめる']",0.3333333333333333,0.5,0.4
"['あ', 'づ', 'ぐ', 'ねえ', 'が']","['あづく', 'ねえ', 'が']",0.4,0.6666666666666666,0.5
"['あっ', 'たけ', 'ぇ', 'お茶', 'くだい']","['あったけぇ', 'お茶', 'くだい']",0.4,0.6666666666666666,0.5
"['あ', 'ど', 'で', '看護', '師', 'に', '診', 'て', 'もらう', 'べ']","['あど', 'で', '看護', '師', 'に', '診', 'て', 'もらう', 'べ']",0.8,0.8888888888888888,0.8421052631578948
"['あん', 'じゃん']",['あんじゃん'],0.0,0.0,0
"['お', 'しょうし', 'な']",['おしょうしな'],0.0,0.0,0
"['いだい', 'がら', 'や', 'さしぐし', 'てけろ', 'な']","['いだい', 'がら', 'やさしぐ', 'し', 'て', 'けろ', 'な']",0.5,0.42857142857142855,0.4615384615384615
"['いだい', 'がら', '湿布', '出し', 'て', 'けん', 'に', 'ぇ', 'が']","['いだい', 'がら', '湿布', '出し', 'て', 'けん', 'にぇ', 'が']",0.7777777777777778,0.875,0.823529411764706
"['いだい', 'がら', '薬', 'くだい']","['いだい', 'がら', '薬', 'くだい']",1.0,1.0,1.0
"['いだい', 'がら', '薬', 'もらい', 'だ', 'い']","['いだい', 'がら', '薬', 'もらい', 'だい']",0.6666666666666666,0.8,0.7272727272727272
"['いだい', 'がら', '薬', 'もらわ', 'れっか']","['いだい', 'がら', '薬', 'もらわ', 'れっ', 'か']",0.8,0.6666666666666666,0.7272727272727272
"['いだく', 'て', 'いだく', 'て', '、', 'し', 'ゃ', 'ー', 'まし', 'しっ', 'た', '一']","['いだく', 'て', 'いだく', 'て', '、', 'しゃーまし', 'しったー']",0.4166666666666667,0.7142857142857143,0.5263157894736842
"['いだく', 'て', 'しょー', 'ね', 'なー']","['いだく', 'て', 'しょーね', 'なー']",0.6,0.75,0.6666666666666665
"['いだく', 'て', 'そげ', 'な', 'ご', 'どさん', 'に', 'ぇ']","['いだく', 'て', 'そげな', 'ごど', 'さんにぇ']",0.25,0.4,0.3076923076923077
"['いだく', 'て', 'ひ', 'しゃ', 'まし', 'しった']","['いだく', 'て', 'ひしゃまし', 'しった']",0.5,0.75,0.6
"['いだく', 'て', 'まいっ', 'た']","['いだく', 'て', 'まいっ', 'た']",1.0,1.0,1.0
"['いだく', 'て', 'わが', 'ん', 'ね', 'な', 'よー']","['いだく', 'で', 'わがんね', 'な', 'よー']",0.42857142857142855,0.6,0.5
"['いだく', 'て', '我慢', 'さん', 'に', 'ぇ']","['いだく', 'て', '我慢', 'さんにぇ']",0.5,0.75,0.6
"['いだく', 'て', '座ら', 'ん', 'に', 'ぇ']","['いだく', 'て', '座ら', 'ん', 'にぇ']",0.6666666666666666,0.8,0.7272727272727272
"['う', 'ぢ', 'さ', '帰り', 'でぇ']","['うぢ', 'さ', '帰り', 'でぇ']",0.6,0.75,0.6666666666666665
"['うま', 'がっ', 'た', 'ず']","['うまがっ', 'た', 'ず']",0.5,0.6666666666666666,0.5714285714285715
"['うん', 'とい', 'でぇ']","['うんと', 'いでぇ']",0.0,0.0,0
"['エプロン', 'すっ', 'か', '？']","['エプロン', 'すっ', 'か', '？']",1.0,1.0,1.0
"['エプロン', '使う', 'が', '？']","['エプロン', '使う', 'が', '？']",1.0,1.0,1.0
"['おかげ', 'で', '、', 'よっぽど', 'い', 'ぐ', 'なっ', 'た']","['おかげ', 'で', 'よっぽど', 'いぐ', 'なっ', 'た']",0.25,0.3333333333333333,0.28571428571428575
"['おかげ', 'で', '助かっ', 'た']","['おかげで', '助かっ', 'た']",0.5,0.6666666666666666,0.5714285714285715
"['お', 'だち', 'し', 'て', 'くだい']","['おだち', 'し', 'て', 'くだい']",0.6,0.75,0.6666666666666665
"['おれ', 'の', '孫', '、', 'い', 'づつ', 'だ', 'な']","['おれ', 'の', '孫', 'いづつ', 'だ', 'な']",0.375,0.5,0.42857142857142855
"['おれ', '元気', 'だ', 'ず']","['おれ', '元気', 'だず']",0.5,0.6666666666666666,0.5714285714285715
"['おわい', 'なっ', 'とぐ', 'や', 'ぇ']","['おわいなっと', 'ぐやぇ']",0.0,0.0,0
"['か', 'いく', 'て', '、', 'か', 'いく', 'て', '、', 'たまん', 'ね']","['かいく', 'て', 'かいく', 'て', 'たまん', 'ね']",0.1,0.16666666666666666,0.125
"['かぶっ', 'たら', '、', '左', '手がら', '袖', '通し', 'てけろ']","['かぶっ', 'たら', '、', '左手', 'がら', '袖', '通し', 'て', 'けろ']",0.625,0.5555555555555556,0.5882352941176471
"['けっ', 'つい', 'でぇ']","['けっつ', 'いでぇ']",0.0,0.0,0
"['こ', 'いづ', '、', '洗濯', 'さ', '出し', 'て', 'いい', 'が', '？']","['こいづ', '、', '洗濯', 'さ', '出し', 'て', 'いい', 'が', '？']",0.8,0.8888888888888888,0.8421052631578948
"['こ', 'いづ', 'いい', 'がら', '、', 'かわ', 'ね', 'が']","['こいづ', 'いい', 'がら', 'かわ', 'ね', 'が']",0.25,0.3333333333333333,0.28571428571428575
"['こい', 'づな', 'ん', 'ぼや', '？']","['こいづ', 'なんぼ', 'や', '？']",0.2,0.25,0.22222222222222224
"['こが', 'な', 'もの', 'いら', 'ね']","['こがな', 'もの', 'いら', 'ね']",0.6,0.75,0.6666666666666665
"['この', 'タオル', '外し', 'て', 'いい', 'が', '？', 'かご', 'さ', 'いっちょ', 'ぐ', 'ぞ']","['この', 'タオル', '外し', 'て', 'いい', 'べ', 'が', '？', 'かご', 'さ', 'いっちょ', 'ぐ', 'ぞ']",0.4166666666666667,0.38461538461538464,0.4
"['これ', 'がら', '服', '脱い', 'で', '、', 'シャワー', '浴', 'び', 'で', '体', '洗う', 'ん', 'だ', 'げ', 'ど', '、', 'いい', 'べ', 'が', '？']","['これがら', '服', '脱い', 'で', '、', 'シャワー', '浴び', 'で', '体', '洗う', 'ん', 'だげど', 'いい', 'べ', 'が', '？']",0.42857142857142855,0.5625,0.4864864864864864
"['こわ', 'ぐ', 'ねえ', 'が', '？']","['こわぐ', 'ねえ', 'が', '?']",0.4,0.5,0.4444444444444445
"['したっぱ', 'ら', 'いだく', 'て', 'そげ', 'な', 'ご', 'どさん', 'に', 'ぇ']","['したっぱら', 'いだく', 'て', 'そげな', 'こど', 'さんにぇ']",0.2,0.3333333333333333,0.25
"['したっぱ', 'ら', 'いだく', 'て', '座ら', 'ん', 'に', 'ぇ', 'ー']","['したっぱら', 'いだく', 'て', '座ら', 'ん', 'にぇ', 'ー']",0.5555555555555556,0.7142857142857143,0.6250000000000001
"['シャワー', '40', '℃', 'に', 'し', 'たげん', 'ど', '、', 'あ', 'づ', 'ぐ', 'ねぇ', 'が', '、', '確認', 'し', 'てけろ']","['シャワー', '40', '℃', 'に', 'した', 'げん', 'ど', '、', 'あづ', 'ぐ', 'ねぇ', 'が', '、', '確認し', 'て', 'けろ']",0.5882352941176471,0.625,0.6060606060606061
"['ズボン', '替え', 'っぺ']","['ズボン', '替えっ', 'べ']",0.3333333333333333,0.3333333333333333,0.3333333333333333
"['スリッパ', '脱い', 'で', '、', 'こご', 'さ', '腰', 'かげ', 'で', 'けん', 'に', 'が']","['スリッパ', '脱い', 'で', '、', 'こご', 'さ', '腰', 'かげ', 'で', 'けんに', 'が']",0.8333333333333334,0.9090909090909091,0.8695652173913043
"['そ', 'いづ', '繰り', '返し', 'ながら', 'ゆっくり', '下り', 'で', 'み', 'っぺ', '。']","['そいづ', '繰り返し', 'ながら', 'ゆっくり', '下り', 'で', 'みっ', 'ぺ', '。']",0.45454545454545453,0.5555555555555556,0.5
"['そご', 'さ', '、', '座っ', 'と', 'ごや', 'ぇ']","['そご', 'さ', '座っ', 'と', 'ごやぇ']",0.2857142857142857,0.4,0.3333333333333333
"['そご', 'さ', '座っ', 'てけろ']","['そこ', 'さ', '座っ', 'て', 'けろ']",0.5,0.4,0.4444444444444445
"['そご', 'の', '角', '、', '右', 'さ', 'む', 'じ', 'って']","['そご', 'の', '角', '、', '右', 'さ', 'むじっ', 'て']",0.6666666666666666,0.75,0.7058823529411765
"['そろそろ', '食堂', 'さ行', 'ぎ', 'でぇ']","['そろそろ', '食堂', 'さ', '行ぎ', 'でぇ']",0.6,0.6,0.6
"['ちょっと', 'くた', 'びっ', 'ちゃ']","['ちょっと', 'くたび', 'っちゃ']",0.25,0.3333333333333333,0.28571428571428575
"['ちょっと', '頭', '上げ', 'で', 'み', 'で']","['ちょっと', '頭', '上げ', 'で', 'み', 'で']",1.0,1.0,1.0
"['ちょ', 'ぴっ', 'と', 'あだ', 'ま', 'やめる']","['ちょぴっと', 'あだま', 'やめる']",0.16666666666666666,0.3333333333333333,0.2222222222222222
"['てぇ', 'や', 'げ', 'どし', 'た']","['てぇ', 'やげど', 'した']",0.2,0.3333333333333333,0.25
"['て', 'づ', 'だって', 'けん', 'に', 'が', '？']","['てづだっ', 'て', 'けん', 'に', 'が', '?']",0.42857142857142855,0.5,0.4615384615384615
"['トイレット', 'ペーパー', '、', 'こさ', '置い', 'どっ', 'から', 'な']","['トイレットペーパー', '、', 'こさ', '置い', 'どっ', 'から']",0.625,0.8333333333333334,0.7142857142857143
"['どうぞ', '、', 'あがっ', 'とぐ', 'や', 'ぇ']","['どうぞ', '、', 'あがっと', 'ぐやぇ']",0.3333333333333333,0.5,0.4
"['ど', 'ご', 'さ行', 'ぐ', 'なや', '？']","['どご', 'さ', '行ぐ', 'な', 'や?']",0.0,0.0,0
"['どさ', 'い', 'ぐ', 'なや', '？']","['どさ', 'いぐ', 'な', 'や', '?']",0.2,0.2,0.20000000000000004
"['ながなが', '、', 'うま', 'ぐ', 'で', 'ぎ', 'ねぇ']","['ながなが', 'うまぐ', 'でぎ', 'ねぇ']",0.14285714285714285,0.25,0.18181818181818182
"['な', 'じょ', 'し', 'た', '？']","['なじょ', 'した', '？']",0.2,0.3333333333333333,0.25
"['なん', 'だ', 'が', '腹', '減っ', 'た']","['なんだが', '腹', '減っ', 'た']",0.5,0.75,0.6
"['パジャマ', '脱ぐ', 'べ', '。', '右', '手がら', '脱い', 'で', 'もらう', 'が']","['パジャマ', '脱ぐ', 'べ', '。右手', 'がら', '脱い', 'で', 'もらう', 'が']",0.7,0.7777777777777778,0.7368421052631577
"['ひざ', 'かぶ', 'ずきずき', 'する']","['ひざかぶ', 'ずきずき', 'する']",0.5,0.6666666666666666,0.5714285714285715
"['ふらふら', 'し', 'ねぇ', 'が', '？', '具合', '悪', 'ぐ', 'ねえ', 'が', '？']","['ふらふら', 'し', 'ねえ', 'が', '？', '具合', '悪く', 'ねえ', 'が', '？']",0.7272727272727273,0.8,0.761904761904762
"['ふらふら', 'し', 'ねえ', 'が', '？', '足さ', '力', 'いっ', 'ちぇ', 'ちゃんと', '座っ', 'てけろ']","['ふらふら', 'し', 'ねえ', 'が', '？', '足', 'さ', '力', 'いっちぇ', 'ちゃんと', '座っ', 'て', 'けろ']",0.6666666666666666,0.6153846153846154,0.64
"['ブレーキ', 'かけ', 'てけろ']","['ブレーキ', 'かけ', 'て', 'けろ']",0.6666666666666666,0.5,0.5714285714285715
"['べろ', 'いだい']","['べろ', 'いだい']",1.0,1.0,1.0
"['便所', 'さいぎ', 'だ', 'ぐ', 'なっ', 'から', '、', '飲み', 'だ', 'ぐ', 'ねぇ']","['便所', 'さ', 'いぎ', 'だぐ', 'なっから', '\x08、', '飲み', 'だぐ', 'ねぇ']",0.09090909090909091,0.1111111111111111,0.09999999999999999
"['便所', 'さいぎ', 'でぇ']","['便所', 'さ', 'いぎ', 'でぇ']",0.6666666666666666,0.5,0.5714285714285715
"['便所', 'さい', 'って', '、', 'しょんべん', 'し', 'て', 'き', 'た']","['便所', 'さ', 'いって', '、', 'しょんべん', 'し', 'て', 'き', 'た']",0.7777777777777778,0.7777777777777778,0.7777777777777778
"['便所', 'さ行', 'が', 'ね', 'たっ', 'て', 'いい', 'が', '？']","['便所', 'さ', 'いが', 'ね', 'たって', 'いい', 'が', '?']",0.4444444444444444,0.5,0.47058823529411764
"['ほん', 'じゃ', '、', 'カーテン', '閉め', 'て', 'お', 'ぐ', 'から', 'な']","['ほんじゃ', '、', 'カーテン', '閉め', 'て', 'おぐ', 'から', 'な']",0.6,0.75,0.6666666666666665
"['ほん', 'じゃ', '、', 'ゆっくり', 'あったまっ', 'てけろ']","['ほんじゃ', '、ゆっくり', 'あったまっ', 'て', 'けろ']",0.16666666666666666,0.2,0.1818181818181818
"['ほん', 'じゃ', '、', '今', 'から', '歩い', 'で', 'い', 'が', 'れっか', '。', '風呂場', 'まで', '床', '濡れ', 'てっ', 'から', '気', 'ぃ', 'つけろ', 'よ']","['ほんじゃ', '、', '今', 'から', '歩い', 'で', 'いがれっ', 'か', '。', '風呂場', 'まで', '床', '濡れ', 'てっ', 'から', '気ぃ', 'つけ', 'ろ', 'よ']",0.6190476190476191,0.6842105263157895,0.6500000000000001
"['まず', '、', 'ブレーキ', 'かげ', 'で', 'もらっ', 'て', 'いい', 'べ', 'か']","['まず', '、', 'ブレーキ', 'かげ', 'で', 'もらっ', 'て', 'いい', 'べ', 'か']",1.0,1.0,1.0
"['む', 'ぐし', 'そう', 'だ']","['むぐし', 'そう', 'だ']",0.5,0.6666666666666666,0.5714285714285715
"['もう', 'あだ', 'まいっ', 'だく', 'ねえ']","['もう', 'あだま', 'いっだく', 'ねえ']",0.4,0.5,0.4444444444444445
"['ゆん', 'べ', 'は', 'よ', 'ぐ', 'ねらっ', 'ちゃ', 'が']","['ゆんべ', 'は', 'よぐ', 'ねらっ', 'ちゃ', 'が']",0.5,0.6666666666666666,0.5714285714285715
"['よ', 'ぐ', 'ご', 'ざた', 'なっ', 'し']","['よぐ', 'ござ', 'た', 'なっし']",0.0,0.0,0
"['よ', 'ぐ', '眠ら', 'っちゃ']","['よぐ', '眠ら', 'っ', 'ちゃ']",0.25,0.25,0.25
"['よ', 'ご', 'っ', 'ぱら', 'きりきり', 'いだい']","['よごっぱら', 'きりきり', 'いだい']",0.3333333333333333,0.6666666666666666,0.4444444444444444
"['よ', 'ご', 'っ', 'ばら', 'やめる']","['よごっばら', 'やめる']",0.2,0.5,0.28571428571428575
"['リハビリ', '頑張っ', 'てん', 'なー', '。', 'ちぃっと', '歩', 'がれる', 'よう', 'に', 'なっ', 'て', 'い', 'がっ', 'た', 'なー', '。', 'これ', 'がら', 'も', '頑張っ', 'ぺ', 'な']","['リハビリ', '頑張っ', 'て', 'ん', 'な', 'ー', '。', 'ちぃっと', '歩が', 'れる', 'よう', 'に', 'なっ', 'て', 'いがった', 'な', 'ー', '。', 'これがら', 'も', '頑張っ', 'ぺ', 'な']",0.5652173913043478,0.5652173913043478,0.5652173913043478
"['わ', 'ぎ', 'ばら', 'きりきり', 'いだい']","['わぎばら', 'きりきり', 'いだい']",0.4,0.6666666666666666,0.5
"['んじゃ', '、', 'お', '湯', '左足', 'がら', 'かけ', 'て', '。', 'あ', 'づ', 'ぐ', 'ねぇ', 'が', '？']","['んじゃ', '、', 'お湯', '左足', 'がら', 'かけ', 'て', '。', 'あづぐ', 'ねぇ', 'が', '？']",0.6666666666666666,0.8333333333333334,0.7407407407407408
"['んじゃ', '、', '何', 'か', 'あっ', 'たら', '、', 'いつ', 'で', 'も', '呼ん', 'で', 'なー']","['んじゃ', '、', '何か', 'あっ', 'たら', '、', 'いつ', 'で', 'も', '呼ん', 'で', 'な', 'ー']",0.7692307692307693,0.7692307692307693,0.7692307692307693
"['んじゃ', '、', '起', 'ぎ', 'あがっ', 'て', '、', 'ベッド', 'の', '端', 'さ', '腰かけ', 'て', 'み', 'で']","['んじゃ', '、', '起ぎあがって', '', '、', 'ベッド', 'の', '端', 'さ', '腰', 'かけ', 'て', 'み', 'で']",0.6,0.6428571428571429,0.6206896551724138
"['んじゃ', '、', '今', 'がら', '服', '脱い', 'で', 'もらう', 'がら', '確認', 'さ', 'せ', 'てけろ', 'な', '。', '足', 'の', '裏', 'ちゃん', 'と', '床', 'さつ', 'いっ', 'た', 'が', '。', 'ちょっと', '待っ', 'てけろ', '。']","['んじゃ', '、', '今', 'がら', '服', '脱い', 'で', 'もらう', 'がら', '確認', 'さ', 'せ', 'て', 'けろ', 'な', '。', '足', 'の', '裏', 'ちゃんと', '床', 'さ', 'ついっ', 'た', 'が', '。', 'ちょっと', '待っ', 'て', 'けろ']",0.7666666666666667,0.7666666666666667,0.7666666666666667
"['んじゃ', '、', '今', 'から', '立っ', 'て', 'もらう', 'がら', '、', '右肩', 'さ', 'タオル', 'かげん', 'ぞ']","['んじゃ', '、', '今', 'から', '立っ', 'て', 'もらう', 'がら', '、', '右肩', 'さ', 'タオル', 'かげ', 'ん', 'ぞ']",0.9285714285714286,0.8666666666666667,0.896551724137931
"['んじゃ', '、', '上着', '脱い', 'で', 'もらっ', 'て', 'いい', 'べ', 'か']","['んじゃ', '、', '上着', '脱い', 'で', 'もらっ', 'て', 'いい', 'べ', 'か']",1.0,1.0,1.0
"['んじゃ', '、', '体', 'よっく', '拭い', 'てけろ', 'な']","['んじゃ', '、', '体', 'よっく', '拭い', 'て', 'けろ', 'な']",0.8571428571428571,0.75,0.7999999999999999
"['んじゃ', '、', '服', '脱い', 'で', 'もらう', 'が', '。', '左手', 'で', 'ボタン', '外さ', 'れっか', '？']","['んじゃ', '、', '服', '脱い', 'で', 'もらう', 'が', '。', '左手', 'で', 'ボタン', '外さ', 'れっ', 'か', '？']",0.9285714285714286,0.8666666666666667,0.896551724137931
"['んじゃ', '、', '歩い', 'て', 'い', 'ぐ', 'ぞ', '。', 'そご', 'で', '止まっ', 'てけろ']","['んじゃ', '、', '歩い', 'て', 'いぐ', 'ぞ', '。', 'そご', 'で', '止まっ', 'て', 'けろ']",0.75,0.75,0.75
"['んじゃ', 'らば', '、', '車', 'いす', 'さ', '移ん', 'ぞ']","['んじゃ', 'らば', '、', '車', 'いす', 'さ', '移ん', 'ぞ']",1.0,1.0,1.0
"['ん', 'だ', 'ご', 'で', 'な']","['んだ', 'ごでな']",0.0,0.0,0
"['飲み', 'もん', '何', 'いい', '？']","['飲み', 'もん', '何', 'いい', '?']",0.8,0.8,0.8000000000000002
"['何', 'が', 'あっ', 'たら', '、', 'この', 'ボタン', '押し', 'て', '呼ば', 'って', 'けろ']","['何', 'が', 'あっ', 'たら', '、', 'この', 'ボタン', '押し', 'て', '呼ばっ', 'て', 'けろ']",0.8333333333333334,0.8333333333333334,0.8333333333333334
